WellId,Well_ColId,Well_RowId,S,T,Z,C,area,centroid-0,centroid-1,max_intensity,mean_intensity,min_intensity,bbox-0,bbox-1,bbox-2,bbox-3
A1,1,1,0,0,0,0,47,338.59574468085106,356.4468085106383,11976.0,7993.063829787234,4919.0,335,353,343,361
A1,1,1,0,0,0,0,193,340.78756476683935,588.7150259067357,9393.0,6109.124352331606,2165.0,334,581,349,598
A1,1,1,0,0,0,0,85,343.8941176470588,49.11764705882353,7592.0,6470.105882352941,4992.0,339,44,350,55
A1,1,1,0,0,0,0,84,346.20238095238096,725.6190476190476,8132.0,6210.702380952381,3962.0,342,720,351,732
A1,1,1,0,0,0,0,76,349.86842105263156,240.75,7368.0,5669.973684210527,4292.0,342,238,359,245
A1,1,1,0,0,0,0,134,346.6641791044776,649.8283582089553,9770.0,7870.820895522388,4922.0,342,641,352,660
A1,1,1,0,0,0,0,82,350.6463414634146,471.4024390243902,7299.0,6121.5609756097565,4735.0,346,465,356,479
A1,1,1,0,0,0,0,86,358.8837209302326,57.06976744186046,9083.0,7847.3488372093025,6250.0,354,50,364,64
A1,1,1,0,0,0,0,126,361.24603174603175,293.6507936507937,12428.0,8222.912698412698,4530.0,355,287,368,300
A1,1,1,0,0,0,0,62,363.0806451612903,412.2258064516129,9743.0,7603.725806451613,5727.0,359,408,369,418
A1,1,1,0,0,0,0,97,368.77319587628864,513.8041237113403,7455.0,5393.4639175257735,4213.0,362,508,376,520
A1,1,1,0,0,0,0,74,371.6756756756757,838.7432432432432,9413.0,7064.716216216216,4551.0,367,835,378,844
A1,1,1,0,0,0,0,95,373.4736842105263,260.3157894736842,7723.0,6067.252631578947,3265.0,368,256,380,267
A1,1,1,0,0,0,0,94,375.25531914893617,853.8617021276596,8117.0,6148.478723404255,4741.0,369,850,383,859
A1,1,1,0,0,0,0,124,381.0725806451613,269.1693548387097,5797.0,4217.556451612903,2691.0,374,263,389,276
A1,1,1,0,0,0,0,62,379.43548387096774,401.56451612903226,9798.0,7865.080645161291,5535.0,374,398,385,406
A1,1,1,0,0,0,0,167,379.76646706586826,580.1437125748503,6419.0,4052.083832335329,2575.0,375,570,386,592
A1,1,1,0,0,0,0,80,380.175,764.1125,8096.0,6513.6375,4993.0,374,760,388,769
A1,1,1,0,0,0,0,119,382.2268907563025,961.3949579831933,6475.0,5007.857142857143,3771.0,375,956,391,968
A1,1,1,0,0,0,0,98,387.98979591836735,19.989795918367346,6716.0,5265.581632653061,3604.0,380,16,397,25
A1,1,1,0,0,0,0,57,392.56140350877195,94.6842105263158,10444.0,9177.982456140351,7305.0,388,91,398,99
A1,1,1,0,0,0,0,158,392.0379746835443,856.5443037974684,8588.0,6925.462025316456,4798.0,387,847,398,867
A1,1,1,0,0,0,0,62,394.7258064516129,386.19354838709677,8737.0,7013.290322580645,4612.0,389,383,402,390
A1,1,1,0,0,0,0,177,396.08474576271186,569.3107344632768,7831.0,5881.062146892656,3976.0,389,561,403,578
A1,1,1,0,0,0,0,90,398.7,299.05555555555554,7607.0,6004.633333333333,4822.0,393,294,405,305
